% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.085968921e+02 +3.085968921e+02 +3.880768921e+02 +3.880768921e+02 +4.1965e+00 +5.5403e-01 +8.0057e-01 -2.1398e+00 -3.2701e+00 +4.8086e+00 +3.6695e+00 -4.5530e+00 -3.5179e+00 -4.7778e+00 +2.7518e+00 +2.8641e+00 -4.5282e+00 -6.8930e-02 -2.3927e+00 +1.1522e+00 +1.2826e+00 +2.8859e-02 -4.6831e+00 -3.7809e+00
4 +1.451484359e+02 +1.451484359e+02 +2.246284359e+02 +2.246284359e+02 -4.0306e+00 -3.0350e+00 -3.3119e+00 +3.2078e+00 -2.8431e+00 +3.2666e+00 +4.2798e+00 +6.1955e-01 -2.8344e+00 -4.1592e+00 +1.5939e+00 -3.7596e+00 +2.6179e+00 -2.6974e+00 +1.8427e+00 +1.0721e+00 +2.8454e-01 -2.4920e+00 +3.5572e+00 +2.8389e+00
95 +8.171402075e+01 +8.171402075e+01 +1.611940207e+02 +1.611940207e+02 +3.7852e+00 -2.2243e+00 +1.1431e+00 +1.6257e-02 -1.5999e+00 +3.2854e-01 -2.9116e+00 +1.4606e+00 -2.8315e+00 +8.4046e-03 -3.0989e+00 -2.9723e+00 +3.1866e+00 +3.5603e-01 +4.6874e+00 +4.5284e+00 +6.2038e-01 -3.4570e+00 +3.8022e-01 +2.3155e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.754853832e+02 +2.754853832e+02 +6.699653832e+02 +6.699653832e+02 +3.1098e-01 -2.2945e+00 +2.6464e+00 +1.8992e+00 -3.0342e+00 -2.0733e+00 -2.6070e-01 +2.5624e+00 +3.3059e+00 +2.0644e-02 +1.9168e+00 -1.0793e+00 +2.9836e+00 -1.6555e+00 +4.8479e+00 +4.2607e-01 -2.6645e+00 +3.2150e+00 +9.7077e-01 +1.5723e+00
3 +1.972785566e+02 +1.972785566e+02 +5.917585566e+02 +5.917585566e+02 +1.5892e-01 -1.6610e+00 +1.3537e-01 -1.3151e+00 +1.4493e+00 +2.6833e-01 -2.3360e+00 +1.7489e+00 +4.0893e-01 -4.4923e-01 +1.9859e+00 +6.1246e-01 +4.9818e+00 -2.4664e+00 -3.7660e+00 +3.5802e+00 -5.0550e-01 -4.4634e+00 +2.5786e+00 -1.6157e-01
9 +1.525640818e+02 +1.525640818e+02 +5.470440818e+02 +5.470440818e+02 -4.0363e+00 -2.8907e+00 -3.4161e+00 +3.2136e+00 +3.3036e+00 -1.1439e+00 +1.1431e+00 +3.3782e+00 +3.8926e+00 -2.2777e-01 -1.3922e+00 +3.4913e+00 -3.3239e+00 +1.9388e+00 -1.9023e+00 -4.5397e-01 -8.3728e-01 -4.8194e+00 +4.8884e-01 +4.7477e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.995242466e+02 +3.995242466e+02 +1.524142466e+02 +1.524142466e+02 -1.9656e+00 -4.5176e+00 +3.3284e+00 +3.1763e+00 +2.2090e+00 +1.5189e-01 -4.6458e+00 -3.3777e+00 -3.3097e+00 +2.1045e+00 -3.6211e+00 -2.4841e+00 -3.3410e+00 -4.3927e+00 +4.4601e+00 -2.1600e+00 +1.0272e+00 -4.2073e+00 -4.6717e+00 -3.3207e+00
2 +1.162954416e+02 +1.162954416e+02 -1.308145584e+02 -1.308145584e+02 -4.4083e+00 +4.3328e+00 -4.5772e+00 -3.2515e+00 +1.1267e-01 +1.6762e+00 +3.5209e+00 -2.2774e+00 +1.3857e+00 -5.5309e-02 +2.5739e+00 +1.6643e+00 +4.4589e+00 +2.9789e+00 -1.4474e+00 -9.7494e-01 +9.0966e-01 -3.7202e+00 +3.8666e+00 +1.3605e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.595359499e+02 +2.595359499e+02 +1.074959499e+02 +1.074959499e+02 +3.2067e+00 -8.6916e-01 +2.7745e+00 +4.9837e+00 +2.9067e+00 +2.3185e+00 +2.9635e+00 +3.2024e+00 +1.7455e-01 -1.8303e+00 -3.0319e+00 +2.6532e+00 -4.8977e+00 -4.3967e+00 +3.4447e+00 +3.9810e+00 +7.0872e-02 -1.9625e+00 -9.7738e-01 +4.3073e+00
3 +2.252507631e+02 +2.252507631e+02 +7.321076313e+01 +7.321076313e+01 -3.0612e+00 -1.9153e+00 -2.5236e+00 +4.2867e+00 -2.5912e+00 +4.2682e+00 -4.2147e+00 +2.1347e+00 +4.5050e+00 +3.4035e+00 -1.8251e-01 -6.2750e-01 -6.2740e-01 -9.6179e-01 +5.3242e-01 +2.5865e+00 +3.6017e+00 +2.9239e+00 +1.7275e+00 -4.9196e+00
71 +1.486238611e+02 +1.486238611e+02 -3.416138856e+00 -3.416138856e+00 -6.8679e-01 +1.7516e-01 -2.1907e+00 -2.8180e+00 +1.3954e+00 -1.3487e-01 -8.8987e-02 +6.9350e-01 -6.6635e-02 +1.5510e+00 +1.9730e+00 -3.6116e+00 -1.0696e+00 -3.9150e+00 +1.6909e+00 +4.1006e+00 -3.4843e-02 +3.1375e-01 -1.0217e+00 +2.0170e+00
