% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.476862128e+03 +1.476862128e+03 +1.014772128e+03 +1.014772128e+03 +3.3783e+00 +2.4002e+00 +4.0016e+00 +3.7242e-01 -2.0329e+00 -2.7849e+00 +4.5617e-01 -1.4638e+00 +9.2458e-01 +3.9282e-01 -2.1324e+00 +2.3373e+00 -4.4009e+00 -2.0889e+00 -2.0694e+00 -1.9798e+00 +9.0375e-01 +1.4725e+00 +2.7442e+00 +1.0858e+00
187 +9.983251353e+02 +9.983251353e+02 +5.362351353e+02 +5.362351353e+02 +9.1046e-02 -1.7589e+00 -4.5621e+00 -1.1182e+00 +2.0182e+00 -3.8661e+00 +1.8735e+00 -3.2288e+00 +2.2424e+00 -1.7994e+00 +1.5096e+00 -5.0047e-01 -3.6972e+00 +2.1729e+00 +5.9022e-01 -2.0973e+00 -2.3538e-01 +1.2440e+00 +2.4965e+00 -3.3998e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.555886664e+04 +1.555886664e+04 +1.563652664e+04 +1.563652664e+04 +1.5164e+00 -4.2903e+00 +2.4969e+00 -3.1641e+00 +2.4167e+00 +3.7821e+00 -4.9401e+00 +2.1470e+00 +4.4641e+00 -2.7038e+00 +3.8164e+00 +4.0416e+00 +4.9465e+00 -2.7681e+00 +7.8966e-02 +4.2503e+00 -3.6836e+00 +9.0417e-01 -3.4353e+00 -2.1634e+00
5 +4.991212456e+03 +4.991212456e+03 +5.068872456e+03 +5.068872456e+03 -3.3446e+00 -1.7390e+00 -3.4964e+00 -1.3678e+00 +3.7991e+00 -1.7922e+00 -4.5965e+00 +2.1143e+00 +1.1782e-01 +4.4949e+00 +3.6704e+00 +2.5672e+00 -3.5917e+00 -2.8458e+00 +8.5622e-01 +3.4725e+00 -3.4985e+00 +1.6186e+00 +4.7663e+00 -1.3632e-01
9 +7.375952542e+02 +7.375952542e+02 +8.152552542e+02 +8.152552542e+02 -3.1930e-02 -2.8545e+00 -3.4278e+00 +2.4946e+00 -4.0522e+00 -4.1666e+00 -2.5035e-01 -4.1654e+00 -2.3415e+00 +2.9009e-01 -3.1625e+00 +2.0978e+00 -4.5878e+00 -3.8213e+00 +2.6037e+00 +7.8505e-01 -8.1756e-01 -3.3133e+00 +8.9986e-01 -2.1790e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.445408654e+03 +2.445408654e+03 +2.561088654e+03 +2.561088654e+03 -1.7741e+00 +3.0190e+00 +8.3599e-01 -4.5422e-01 +4.7137e+00 +3.0965e+00 -2.0445e+00 -4.6651e+00 -4.7108e+00 -3.3395e+00 -1.1240e+00 +4.5052e+00 -3.2777e+00 +9.4122e-01 -8.2905e-01 +2.8095e+00 +1.4062e+00 +8.8157e-01 -2.0182e+00 +1.1154e+00
4 +1.571539883e+03 +1.571539883e+03 +1.687219883e+03 +1.687219883e+03 -9.5054e-01 -2.4542e+00 -3.8159e+00 -3.3294e+00 +4.9520e+00 -3.4866e+00 +3.8611e+00 -4.0740e+00 +1.0883e+00 +7.8545e-01 +3.1481e+00 -1.7309e+00 +4.2098e+00 +4.1729e+00 -3.8481e+00 +7.0322e-01 -3.0564e+00 +1.9988e+00 -1.3000e+00 -7.4615e-02
91 +9.023233809e+02 +9.023233809e+02 +1.018003381e+03 +1.018003381e+03 -1.7755e+00 -4.1264e+00 -1.3451e+00 -4.9884e-01 +6.4694e-01 -4.2567e+00 +2.5941e+00 +3.1450e+00 -1.7265e+00 -4.5449e+00 +2.1746e-01 -6.3954e-01 +2.3080e+00 -4.9039e+00 +1.7082e+00 +8.8667e-01 -4.5388e+00 +3.8125e+00 -4.7323e-01 +1.4729e+00
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.016375138e+03 +3.016375138e+03 +3.012665138e+03 +3.012665138e+03 -7.0243e-01 +3.8187e-01 +1.7439e+00 +1.1500e+00 -7.7768e-01 +4.4225e+00 -4.2093e-01 -6.1095e-01 +4.5396e+00 -4.9630e+00 +2.1861e+00 -2.9276e+00 -3.5033e+00 -1.2722e+00 -6.6345e-01 +4.4046e+00 -4.1401e+00 -1.6245e+00 -3.2119e+00 -4.0683e+00
3 +1.280086930e+03 +1.280086930e+03 +1.276376930e+03 +1.276376930e+03 +1.1918e+00 +4.5679e+00 -4.9115e-01 +4.4324e+00 +3.2449e+00 -3.5438e+00 +2.6000e-01 -2.4379e+00 -1.7295e+00 +4.5687e+00 -2.1656e+00 +3.3256e+00 -2.3060e+00 +4.7987e+00 -3.8724e+00 -3.4563e+00 -7.4066e-01 -1.8394e+00 +1.9329e-01 -3.9781e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.431608563e+03 +1.431608563e+03 +1.563788563e+03 +1.563788563e+03 -4.8944e+00 +3.3628e+00 +3.4751e+00 -2.6457e+00 +4.3991e-01 +6.6722e-01 +2.8914e+00 +2.8579e+00 +6.7909e-01 +3.5693e+00 -7.3930e-01 -1.9224e+00 -2.2200e+00 -2.4357e+00 +5.9757e-01 +2.5916e-01 +1.8465e+00 -4.8457e+00 +9.4665e-01 +3.9526e+00
13 +8.644521136e+02 +8.644521136e+02 +9.966321136e+02 +9.966321136e+02 -4.1265e+00 +2.2283e+00 -3.0043e+00 +2.5000e+00 -2.8809e+00 +2.6757e+00 +2.4073e+00 +4.6833e+00 -4.4907e+00 -9.2756e-01 +1.1708e+00 -3.2651e+00 -1.7237e+00 +3.7933e+00 +2.5322e+00 +2.6603e+00 -1.4532e+00 +1.9426e+00 +1.2348e+00 +1.0687e+00
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.525246812e+03 +3.525246812e+03 +3.483506812e+03 +3.483506812e+03 -4.3997e+00 -1.4198e+00 +3.9295e+00 +4.2327e+00 +1.5668e+00 +2.7466e+00 -4.6859e+00 -2.9005e+00 -1.1955e-01 -1.2773e+00 -2.2744e+00 +5.3887e-01 -1.9709e+00 +4.1051e-01 +2.2524e+00 -4.9558e+00 -4.6721e-01 +1.1996e+00 -3.8432e+00 -4.3393e+00
2 +1.958693062e+03 +1.958693062e+03 +1.916953062e+03 +1.916953062e+03 -1.4192e+00 -1.5351e+00 -3.3602e-01 -2.1092e+00 +3.6014e+00 +1.5999e+00 -7.3469e-01 -8.2477e-01 +1.0349e+00 -2.1028e+00 -3.9843e+00 +3.4647e+00 -4.0454e+00 +2.5417e+00 +4.0577e+00 -1.6393e+00 -2.1890e+00 +2.3594e+00 +3.3933e-01 -6.5694e-01
4 +1.477627542e+03 +1.477627542e+03 +1.435887542e+03 +1.435887542e+03 +1.2196e+00 -4.9556e-01 -3.4665e+00 +1.3797e+00 -2.7174e+00 -4.1661e+00 -4.1115e+00 -4.4897e+00 +2.3333e+00 +4.9822e+00 +2.0295e+00 -4.9853e+00 -2.1920e+00 +8.0000e-02 -4.2401e+00 +5.6483e-01 -3.4696e+00 +2.3599e+00 -1.7474e+00 +3.5236e+00
12 +9.950261542e+02 +9.950261542e+02 +9.532861542e+02 +9.532861542e+02 -4.8632e+00 -3.2042e+00 -1.3474e-01 -1.6513e+00 +1.3871e+00 -5.6803e-01 -1.7556e-01 +3.5136e+00 -9.9642e-01 -3.1166e+00 +2.9039e+00 +3.9720e-01 -1.2037e+00 -1.0340e+00 -1.4380e-01 -8.7888e-01 +5.9605e-01 -2.8787e+00 -1.7355e+00 +2.5388e+00
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.584535172e+03 +2.584535172e+03 +2.089675172e+03 +2.089675172e+03 +2.4229e-01 -2.6398e+00 -5.6595e-01 +2.9693e+00 +1.9268e+00 -2.7217e+00 -2.3797e+00 +1.6254e+00 +1.9748e+00 +2.1933e+00 +4.4409e+00 -1.5920e+00 +2.4284e+00 +3.8137e+00 -1.1206e+00 -1.4602e+00 -2.4581e+00 -3.8371e+00 +2.5781e+00 -3.0628e-01
11 +1.978055551e+03 +1.978055551e+03 +1.483195551e+03 +1.483195551e+03 +1.0341e+00 -2.4412e+00 +8.8075e-01 -4.5857e+00 -4.1399e+00 +2.8722e+00 -4.5352e+00 -3.2096e+00 +4.4242e-01 +2.2219e+00 -2.4990e+00 +9.8394e-01 -3.5883e+00 -3.6861e+00 -3.3195e+00 +3.2245e+00 -1.6759e+00 -4.6481e+00 -4.3297e+00 +4.7153e+00
