% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.080517961e+06 +1.080517961e+06 +1.080553861e+06 +1.080553861e+06 -1.0620e+00 +7.4454e-01 +4.6954e+00 +9.1624e-01 +4.8754e+00 -2.1888e+00 -1.7899e+00 +2.2082e-01 -4.5978e+00 +8.1910e-01 +3.9273e-01 +1.7172e+00 +3.2097e+00 +4.4863e+00 +4.1966e+00 +5.5273e-01 +4.2862e+00 +8.6660e-02 +1.8625e+00 -4.8968e+00
5 +9.789671403e+05 +9.789671403e+05 +9.790030403e+05 +9.790030403e+05 +2.1895e+00 +3.4282e+00 -4.1064e+00 +2.4222e+00 -4.5512e+00 -4.4170e+00 +6.0569e-01 -2.2509e+00 +2.8348e+00 +3.0063e-01 +4.4279e+00 -2.4666e-01 -2.5079e+00 -1.8878e-01 +4.5455e+00 -2.5096e+00 -6.2430e-01 +8.3141e-01 +3.2862e+00 -5.4898e-01
52 +5.153933443e+05 +5.153933443e+05 +5.154292443e+05 +5.154292443e+05 +9.1933e-01 +4.3981e+00 +4.7523e+00 +3.3115e+00 -3.1489e+00 -3.7752e+00 +2.6440e+00 +1.7462e-01 +3.9616e+00 -1.8093e+00 -3.2990e-01 -4.3636e+00 +4.6282e+00 -2.6654e+00 +9.7956e-01 -3.0836e+00 +3.7355e+00 +2.0582e+00 -4.8218e+00 -2.9032e+00
119 +1.874036887e+05 +1.874036887e+05 +1.874395887e+05 +1.874395887e+05 +2.4035e+00 +3.5851e+00 +8.5657e-01 -2.3348e+00 -2.4871e+00 -1.5802e+00 +3.3039e+00 -4.9028e+00 -1.0642e+00 -2.9720e+00 -1.7004e+00 +2.4207e+00 -3.1752e+00 -1.2092e+00 +3.2908e+00 -4.8817e+00 +5.6199e-01 +2.9854e+00 +2.7117e+00 -1.2382e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.050102248e+06 +1.050102248e+06 +1.050133618e+06 +1.050133618e+06 -2.4504e+00 +4.4873e+00 +2.9907e-01 -1.8648e+00 -4.2583e+00 -1.1804e+00 +8.7288e-01 -9.9616e-01 +2.3471e+00 -1.4817e+00 -1.9783e+00 +3.7883e+00 -2.7809e+00 -1.4141e+00 +2.4134e+00 -5.8840e-01 +5.1842e-01 +4.0903e+00 +2.7258e+00 -3.6006e+00
2 +9.475638416e+05 +9.475638416e+05 +9.475952116e+05 +9.475952116e+05 +1.6062e+00 -2.0640e+00 -1.2820e+00 +2.4529e-01 -2.4930e+00 +2.2893e+00 +3.4301e+00 -5.4431e-01 -5.7140e-01 -4.0882e+00 +7.3743e-01 +2.0178e+00 -2.8726e+00 -4.3015e+00 +3.6730e+00 +3.9842e+00 -3.7059e+00 +2.8516e+00 -2.1711e-01 -3.0151e+00
6 +5.225787022e+05 +5.225787022e+05 +5.226100722e+05 +5.226100722e+05 -1.1116e+00 +3.6418e+00 -2.0062e+00 +4.2673e+00 -3.0806e+00 +1.3414e+00 +4.3728e+00 +1.6251e+00 -4.8623e-01 -9.7468e-01 +1.2867e+00 +1.5397e+00 -2.6068e+00 +4.5201e+00 -1.3141e+00 +4.4825e+00 -8.2130e-01 -2.4463e+00 -4.8000e+00 -8.5084e-01
9 +3.175320422e+05 +3.175320422e+05 +3.175634122e+05 +3.175634122e+05 +4.7694e+00 +1.3729e+00 -2.9124e+00 +1.9035e+00 +2.1654e-01 -4.6202e+00 +2.8014e-01 +2.1780e+00 -4.4593e+00 -4.3822e+00 -9.0652e-01 -1.3727e+00 +4.2860e+00 +2.5843e-01 -1.0543e+00 -6.5611e-01 +4.6207e+00 +3.4922e+00 +3.7761e+00 +1.8697e+00
144 +2.117014403e+05 +2.117014403e+05 +2.117328103e+05 +2.117328103e+05 +2.5597e+00 -1.9957e+00 -1.7237e+00 +2.6019e+00 -2.9964e+00 +2.1309e+00 -4.1029e+00 +4.2332e+00 -3.4707e+00 +3.2757e+00 -4.8422e+00 -8.5633e-01 +1.1973e+00 -4.0785e-01 +3.0537e+00 +5.9537e-01 -3.2698e+00 -7.0939e-01 -4.4307e+00 -3.9877e+00
